Agro_ecology,Site,Month,Year,TempMaxi,TempMini,RHMaxi,RHMini,Rainfall,Attractant,Trap,B_dorsa
NGS,Natitingou,March,2009,38.8,24.4,75,40,9.7,ME,3,19
NGS,Papatia,March,2009,38.8,24.4,75,40,9.7,ME,1,34
NGS,Papatia,March,2009,38.8,24.4,75,40,9.7,ME,2,21
SGS,Akofodjoule,February,2008,38,23.3,72.8,21.1,0,ME,1,113
SGS,Akofodjoule,February,2008,38,23.3,72.8,21.1,0,ME,2,23
NGS,Ndali,February,2010,38.3,23.4,71,21,4,ME,1,5
NGS,Ndali,February,2010,38.3,23.4,71,21,4,ME,2,5
NGS,Ndali,February,2010,38.3,23.4,71,21,4,ME,3,17
NGS,Parakou,February,2010,38.3,23.4,71,21,4,ME,1,6
NGS,Parakou,February,2010,38.3,23.4,71,21,4,ME,2,7
NGS,Parakou,February,2010,38.3,23.4,71,21,4,ME,3,12
SGS,Alafiarou1,February,2010,38.3,23.4,71,21,0,ME,1,26
SGS,Alafiarou1,February,2010,38.3,23.4,71,21,0,ME,2,10
SGS,Alafiarou1,February,2010,38.3,23.4,71,21,0,ME,3,2
SGS,Alafiarou2,February,2010,38.3,23.4,71,21,0,ME,1,10
SGS,Alafiarou2,February,2010,38.3,23.4,71,21,0,ME,2,1
SGS,Alafiarou2,February,2010,38.3,23.4,71,21,0,ME,3,5
SGS,Bassila,February,2010,38.3,23.4,71,21,0,ME,1,126
SGS,Tchourou1,February,2010,38.3,23.4,71,21,0,ME,1,20
SGS,Tchourou1,February,2010,38.3,23.4,71,21,0,ME,2,18
SGS,Tchourou1,February,2010,38.3,23.4,71,21,0,ME,3,30
SGS,Tchourou2,February,2010,38.3,23.4,71,21,0,ME,1,12
SGS,Tchourou2,February,2010,38.3,23.4,71,21,0,ME,2,10
SGS,Tchourou2,February,2010,38.3,23.4,71,21,0,ME,3,10
FSM,Ketou,January,2008,34.6,21.4,70.6,22.6,0,ME,1,149
FSM,Ketou,January,2008,34.6,21.4,70.6,22.6,0,ME,2,144
FSM,Lalo,January,2008,34.6,21.4,70.6,22.6,0,ME,1,52
FSM,Lalo,January,2008,34.6,21.4,70.6,22.6,0,ME,2,54
NGS,Natitingou,December,2008,36.2,19.4,70.5,38,0,ME,1,404
NGS,Natitingou,December,2008,36.2,19.4,70.5,38,0,ME,2,134
NGS,Natitingou,December,2008,36.2,19.4,70.5,38,0,ME,3,176
